Ministry of Finance,,https://mofep.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://mofep.gov.gh
Ministry of Foreign Affairs,,https://mfa.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://mfa.gov.gh
Ministry of Interior,,https://www.ghana.gov.gh/ministries/36ba46e296/,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://www.ghana.gov.gh
Ministry of Defence,,https://mod.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://mod.gov.gh
Ministry of Justice and Attorney General's Department,,https://mojagd.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://mojagd.gov.gh
Ministry of Health,,https://www.moh.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://www.moh.gov.gh
Ministry of Education,,https://moe.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://moe.gov.gh
Ministry of Food and Agriculture,,https://mofa.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://mofa.gov.gh
Ministry of Trade and Industry,,https://moti.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://moti.gov.gh
Ministry of Energy,,https://energymin.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://energymin.gov.gh
Ministry of Roads and Highways,,https://www.mrh.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://www.mrh.gov.gh
Ministry of Communications and Digitalisation,,https://moc.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://moc.gov.gh
Ministry of Local Government Decentralisation and Rural Development,,https://mlgrd.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://mlgrd.gov.gh
Ministry of Employment and Labour Relations,,https://www.melr.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://www.melr.gov.gh
Ministry of Gender Children and Social Protection,,https://mogcsp.gov.gh,grey_none_verified,National government ministry,false,pending,Ghana,DEPT,https://mogcsp.gov.gh
