Ministry of Interior and National Administration,,https://www.interior.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.interior.go.ke
Ministry of Defence,,https://www.mod.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.mod.go.ke
The National Treasury and Economic Planning,,https://www.treasury.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.treasury.go.ke
Ministry of Foreign and Diaspora Affairs,,https://www.mfa.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.mfa.go.ke
"State Department for Public Service, Performance and Delivery Management",,https://www.mps.go.ke/careers,amber_company_route,"Government careers portal; search result confirms a live /careers page",true,pending,Kenya,DEPT,https://www.mps.go.ke
Ministry of Roads and Transport,,https://www.transport.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.transport.go.ke
"Ministry of Lands, Public Works, Housing and Urban Development",,https://www.ardhi.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.ardhi.go.ke
Ministry of Information Communications and The Digital Economy,,https://www.ict.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.ict.go.ke
Ministry of Health,,https://www.health.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.health.go.ke
Ministry of Education,,https://www.education.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.education.go.ke
Ministry of Agriculture and Livestock Development,,https://www.kilimo.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.kilimo.go.ke
"Ministry of Trade, Investments and Industry",,https://www.trade.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.trade.go.ke
Ministry of Cooperatives and MSME Development,,https://www.cooperatives.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.cooperatives.go.ke
"Ministry of Youth Affairs, Sports and The Arts",,https://www.sportsheritage.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.sportsheritage.go.ke
Ministry of Environment and Forestry,,https://www.environment.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.environment.go.ke
"Ministry of Tourism, Wildlife and Heritage",,https://www.tourism.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.tourism.go.ke
Ministry of Water and Sanitation,,https://www.water.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.water.go.ke
Ministry of Energy and Petroleum,,https://www.energy.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.energy.go.ke
Ministry of Labour and Social Protection,,https://www.labour.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.labour.go.ke
"Ministry of Mining, Blue Economy and Maritime Affairs",,https://www.mining.go.ke,grey_none_verified,National government ministry,false,pending,Kenya,DEPT,https://www.mining.go.ke
Public Service Commission of Kenya,,https://www.publicservice.go.ke/careers,amber_company_route,National recruitment body for the civil service,true,pending,Kenya,DEPT,https://www.publicservice.go.ke
Nairobi City County Government,,https://www.nairobi.go.ke,grey_none_verified,County government,false,pending,Kenya,MUNI,https://www.nairobi.go.ke
Mombasa County Government,,https://www.mombasa.go.ke,grey_none_verified,County government,false,pending,Kenya,MUNI,https://www.mombasa.go.ke
Kisumu County Government,,https://www.kisumu.go.ke,grey_none_verified,County government,false,pending,Kenya,MUNI,https://www.kisumu.go.ke
Nakuru County Government,,https://www.nakuru.go.ke,grey_none_verified,County government,false,pending,Kenya,MUNI,https://www.nakuru.go.ke
