Petrobras,,https://carreiras.petrobras.com.br,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,B3,https://petrobras.com.br
Vale,,https://vale.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,B3,https://vale.com
Itaú Unibanco,,https://www.itau.com.br/carreiras,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,B3,https://www.itau.com.br
Bradesco,,https://banco.bradesco,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,B3,https://banco.bradesco
Ambev,,https://carreiras.ambev.com.br,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,B3,https://www.ambev.com.br
Banco do Brasil,,https://www.bb.com.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SOE,https://www.bb.com.br
Caixa Econômica Federal,,https://www.caixa.gov.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SOE,https://www.caixa.gov.br
Correios,,https://www.correios.com.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SOE,https://www.correios.com.br
BNDES,,https://www.bndes.gov.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SOE,https://www.bndes.gov.br
Eletrobras,,https://eletrobras.com,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SOE,https://eletrobras.com
Ministry of Management and Innovation in Public Services,,https://www.gov.br/gestao/pt-br,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Brazil,DEPT,https://www.gov.br/gestao/pt-br
Ministry of Finance (Ministério da Fazenda),,https://www.in.gov.br,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Brazil,DEPT,https://www.gov.br/fazenda/pt-br
Ministry of Health (Ministério da Saúde),,https://www.in.gov.br,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Brazil,DEPT,https://www.gov.br/saude/pt-br
Ministry of Education (Ministério da Educação),,https://www.in.gov.br,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Brazil,DEPT,https://www.gov.br/mec/pt-br
